dataset,family,config,is_finance,status,terminal_classification,n,m,density,density_regime,m_times_n,m_squared,runtime_total_sec,runtime_phaseA_sec,runtime_phaseB_sec,runtime_phaseC_sec,runtime_mincut_sec,break_reason
Basketball_temporal/2004,Basketball_coarse,A0,false,complete,SUCCESS,326,3527,0.03328928739971685,sparse_<0.05,1149802.0,12439729.0,0.14661765098571777,0.117919921875,1.9073486328125e-06,0.0011944770812988281,0.0,phase_b_disabled
Basketball_temporal/2004,Basketball_coarse,A2,false,complete,SUCCESS,326,3527,0.03328928739971685,sparse_<0.05,1149802.0,12439729.0,0.33118486404418945,0.11719489097595215,0.06688404083251953,0.001409769058227539,0.0,exhausted
Basketball_temporal/2004,Basketball_coarse,A4,false,complete,SUCCESS,326,3527,0.03328928739971685,sparse_<0.05,1149802.0,12439729.0,0.47967028617858887,0.1170656681060791,0.06719756126403809,0.11559629440307617,0.0,exhausted
Basketball_temporal/2004,Basketball_coarse,A6,false,complete,SUCCESS,326,3527,0.03328928739971685,sparse_<0.05,1149802.0,12439729.0,3.2906179428100586,0.11661076545715332,0.0666799545288086,0.11322617530822754,2.84686279296875,exhausted
Basketball_temporal/2005,Basketball_coarse,A0,false,complete,SUCCESS,330,3622,0.03336096527585889,sparse_<0.05,1195260.0,13118884.0,0.17820358276367188,0.14968514442443848,1.6689300537109375e-06,0.0012466907501220703,0.0,phase_b_disabled
Basketball_temporal/2005,Basketball_coarse,A2,false,complete,SUCCESS,330,3622,0.03336096527585889,sparse_<0.05,1195260.0,13118884.0,0.4012598991394043,0.14886236190795898,0.07344412803649902,0.0014388561248779297,0.0,exhausted
Basketball_temporal/2005,Basketball_coarse,A4,false,complete,SUCCESS,330,3622,0.03336096527585889,sparse_<0.05,1195260.0,13118884.0,0.5709841251373291,0.1618802547454834,0.07640910148620605,0.14992856979370117,0.0,exhausted
Basketball_temporal/2005,Basketball_coarse,A6,false,complete,SUCCESS,330,3622,0.03336096527585889,sparse_<0.05,1195260.0,13118884.0,3.4541749954223633,0.14888739585876465,0.07406425476074219,0.11694717407226562,2.933408737182617,exhausted
Basketball_temporal/2006,Basketball_coarse,A0,false,complete,SUCCESS,334,3695,0.03322184459909011,sparse_<0.05,1234130.0,13653025.0,0.17493844032287598,0.1459054946899414,2.1457672119140625e-06,0.0012540817260742188,0.0,phase_b_disabled
Basketball_temporal/2006,Basketball_coarse,A2,false,complete,SUCCESS,334,3695,0.03322184459909011,sparse_<0.05,1234130.0,13653025.0,0.41161084175109863,0.14830374717712402,0.08330988883972168,0.0015304088592529297,0.0,exhausted
Basketball_temporal/2006,Basketball_coarse,A4,false,complete,SUCCESS,334,3695,0.03322184459909011,sparse_<0.05,1234130.0,13653025.0,0.5363562107086182,0.1495041847229004,0.0837869644165039,0.1245267391204834,0.0,exhausted
Basketball_temporal/2006,Basketball_coarse,A6,false,complete,SUCCESS,334,3695,0.03322184459909011,sparse_<0.05,1234130.0,13653025.0,3.048842668533325,0.14372014999389648,0.081268310546875,0.12006378173828125,2.527432441711426,exhausted
