dataset,family,config,config_hash,timestamp,status,n,m,density,total_edge_weight,removed_phaseA_count,removed_phaseA_weight,removed_final_count,removed_final_weight,normalized_removed_weight,restored_edge_count,mincut_attempts,mincut_accepted,mincut_gain,upset_simple,upset_ratio,upset_naive,permutation_distance_vs_p1,runtime_total_sec,runtime_phaseA_sec,runtime_phaseB_sec,runtime_phaseC_sec,runtime_mincut_sec,phase1_iterations,reinserted_per_pass,break_reason,terminal_classification
Basketball_temporal/2009,Basketball_coarse,R2_A4,712779aad638f619,1787631081.116735,complete,347,4155,0.034607119654844996,61946.0,1424,6309.0,902,6309.0,0.10184676976721661,522,0,0,0.0,0.10184676976721661,0.4790352369295716,6309.0,0.10189735303426563,0.6136569976806641,0.18566131591796875,0.08688163757324219,0.12334609031677246,0.0,1039,[522],exhausted,
Basketball_temporal/2009,Basketball_coarse,R3_A4,712779aad638f619,1787631096.837223,complete,347,4155,0.034607119654844996,61946.0,1424,6309.0,902,6309.0,0.10184676976721661,522,0,0,0.0,0.10184676976721661,0.47832491512940856,6309.0,0.10189735303426563,0.691474199295044,0.18576335906982422,0.08713936805725098,0.20099377632141113,0.0,1039,[522],exhausted,
Basketball_temporal/2012,Basketball_coarse,R0_A4,712779aad638f619,1787631054.7278266,complete,345,4126,0.034765756656555444,61534.0,1389,5988.0,827,5988.0,0.09731205512399649,562,0,0,0.0,0.09731205512399649,0.49822388711455895,5988.0,0.10107853050219076,0.426375150680542,0.15011119842529297,0.09235072135925293,0.0016605854034423828,0.0,969,[562],exhausted,
Basketball_temporal/2012,Basketball_coarse,R1_A4,712779aad638f619,1787631067.3861294,complete,345,4126,0.034765756656555444,61534.0,1389,5988.0,827,5988.0,0.09731205512399649,562,0,0,0.0,0.09731205512399649,0.49278137461474286,5988.0,0.10107853050219076,0.5046002864837646,0.15013861656188965,0.09299707412719727,0.07928085327148438,0.0,969,[562],exhausted,
Basketball_temporal/2012,Basketball_coarse,R2_A4,712779aad638f619,1787631081.7373798,complete,345,4126,0.034765756656555444,61534.0,1389,5988.0,827,5988.0,0.09731205512399649,562,0,0,0.0,0.09731205512399649,0.492115364842966,5988.0,0.10107853050219076,0.5556232929229736,0.15028047561645508,0.09223532676696777,0.1280357837677002,0.0,969,[562],exhausted,
Basketball_temporal/2012,Basketball_coarse,R3_A4,712779aad638f619,1787631097.5357864,complete,345,4126,0.034765756656555444,61534.0,1389,5988.0,827,5988.0,0.09731205512399649,562,0,0,0.0,0.09731205512399649,0.49141706592859585,5988.0,0.10107853050219076,0.623751163482666,0.15039300918579102,0.09261631965637207,0.19848895072937012,0.0,969,[562],exhausted,
Basketball_temporal/2014,Basketball_coarse,R0_A4,712779aad638f619,1787631055.1603081,complete,351,4196,0.03415547415547415,60897.0,1471,6400.0,874,6400.0,0.10509548910455359,597,0,0,0.0,0.10509548910455359,0.5102001039406111,6400.0,0.09507529507529508,0.4804060459136963,0.17014312744140625,0.10571837425231934,0.00167083740234375,0.0,1019,[597],exhausted,
Basketball_temporal/2014,Basketball_coarse,R1_A4,712779aad638f619,1787631067.8972635,complete,351,4196,0.03415547415547415,60897.0,1471,6400.0,874,6400.0,0.10509548910455359,597,0,0,0.0,0.10502980442386324,0.5051487081115187,6396.0,0.09509157509157509,0.5584940910339355,0.16979598999023438,0.10559511184692383,0.08022022247314453,0.0,1019,[597],exhausted,
Basketball_temporal/2014,Basketball_coarse,R2_A4,712779aad638f619,1787631082.2997801,complete,351,4196,0.03415547415547415,60897.0,1471,6400.0,874,6400.0,0.10509548910455359,597,0,0,0.0,0.10502980442386324,0.5046936609697489,6396.0,0.09509157509157509,0.6068451404571533,0.1699225902557373,0.10542678833007812,0.12877893447875977,0.0,1019,[597],exhausted,
Basketball_temporal/2014,Basketball_coarse,R3_A4,712779aad638f619,1787631098.1667264,complete,351,4196,0.03415547415547415,60897.0,1471,6400.0,874,6400.0,0.10509548910455359,597,0,0,0.0,0.10502980442386324,0.5040200774604723,6396.0,0.09509157509157509,0.6866788864135742,0.17053484916687012,0.10581111907958984,0.20650291442871094,0.0,1019,[597],exhausted,
Basketball_temporal/finer1985,Basketball_finer,R0_A4,712779aad638f619,1787631055.930613,complete,282,4814,0.06075061204916585,518633.4,4254,245469.7,2407,245469.7,0.4733009867856563,1847,0,0,0.0,0.4733009867856563,0.15586978403366397,245469.7,0.2374750763484011,0.46596598625183105,0.15999746322631836,0.10850238800048828,0.0012080669403076172,0.0,4244,[1847],exhausted,
Basketball_temporal/finer1985,Basketball_finer,R1_A4,712779aad638f619,1787631068.8120658,complete,282,4814,0.06075061204916585,518633.4,4254,245469.7,2407,245469.7,0.4733009867856563,1847,0,0,0.0,0.4728093100058731,0.13997846994254426,245214.7,0.2378031851795765,0.5292720794677734,0.1598200798034668,0.10887479782104492,0.06473469734191895,0.0,4244,[1847],exhausted,
Basketball_temporal/finer1985,Basketball_finer,R2_A4,712779aad638f619,1787631083.3041291,complete,282,4814,0.06075061204916585,518633.4,4254,245469.7,2407,245469.7,0.4733009867856563,1847,0,0,0.0,0.4728093100058731,0.1283160959895218,245214.7,0.2378031851795765,0.5864064693450928,0.16027164459228516,0.10863018035888672,0.12000727653503418,0.0,4244,[1847],exhausted,
Basketball_temporal/finer1985,Basketball_finer,R3_A4,712779aad638f619,1787631099.3242247,complete,282,4814,0.06075061204916585,518633.4,4254,245469.7,2407,245469.7,0.4733009867856563,1847,0,0,0.0,0.4728093100058731,0.1135729796268478,245214.7,0.2378031851795765,0.6821689605712891,0.1597142219543457,0.10892581939697266,0.21688294410705566,0.0,4244,[1847],exhausted,
Basketball_temporal/finer1988,Basketball_finer,R0_A4,712779aad638f619,1787631056.4027643,complete,290,5170,0.06168714950483236,584038.0,4564,275802.5,2585,275802.5,0.4722338272509665,1979,0,0,0.0,0.4722338272509665,0.14449769790454048,275802.5,0.23772819472616633,0.5061426162719727,0.17107272148132324,0.12391805648803711,0.0012865066528320312,0.0,4554,[1979],exhausted,
