baseline,metric,scope,family,n,wins,ties,losses,mean_delta,median_delta,ci_lo,ci_hi,ci_excludes_zero
btl,upset_ratio,per_family,Basketball_coarse,30,0,0,30,0.04763717184464138,0.04225281476974485,0.03846441858510176,0.05808860028535127,True
btl,upset_ratio,per_family,Basketball_finer,30,0,0,30,0.12603963964308304,0.12614645175635814,0.12380015375232326,0.1281442006387903,True
btl,upset_ratio,per_family,Faculty,3,0,0,3,0.2476450324058533,0.28244217038154606,0.1699017196893692,0.29059120714664466,True
btl,upset_ratio,per_family,Football_coarse,6,1,0,5,0.03046534309784572,0.02404607683420182,0.010077727337678283,0.053219144543011986,True
btl,upset_ratio,per_family,Football_finer,6,0,0,6,0.01889881317814192,0.020395411550998707,0.010791265716155374,0.026401975036909185,True
btl,upset_ratio,per_family,Halo,1,0,0,1,0.04410074353218074,0.04410074353218074,0.04410074353218074,0.04410074353218074,True
PageRank,upset_simple,per_dataset_all,ALL,77,53,0,24,-0.12305109667313563,-0.17030733823776245,-0.15567780092068306,-0.08938845682937611,True
PageRank,upset_simple,per_family,Animal,1,1,0,0,-0.27672958374023443,-0.27672958374023443,-0.27672958374023443,-0.27672958374023443,True
PageRank,upset_simple,per_family,Basketball_coarse,30,30,0,0,-0.2317097822825114,-0.22657135128974915,-0.2402660758296649,-0.22328651696443558,True
PageRank,upset_simple,per_family,Basketball_finer,30,6,0,24,0.0451103409131368,0.059837281703949086,0.019666285812854786,0.06750085671742762,True
PageRank,upset_simple,per_family,Faculty,3,3,0,0,-0.15453536808490753,-0.1298265159130096,-0.2075337618589402,-0.1262458264827728,True
PageRank,upset_simple,per_family,Football_coarse,6,6,0,0,-0.25690683722496027,-0.23993203043937672,-0.3421561320622762,-0.1714013715585072,True
PageRank,upset_simple,per_family,Football_finer,6,6,0,0,-0.18507563074429836,-0.15961480140686046,-0.25966291626294463,-0.12710386961698567,True
PageRank,upset_simple,per_family,Halo,1,1,0,0,-0.4847207069396975,-0.4847207069396975,-0.4847207069396975,-0.4847207069396975,True
PageRank,upset_naive,per_dataset_all,ALL,77,53,0,24,-0.030762774168283914,-0.04257683455944061,-0.038919450230170766,-0.022347114207344032,True
PageRank,upset_naive,per_family,Animal,1,1,0,0,-0.0691823959350586,-0.0691823959350586,-0.0691823959350586,-0.0691823959350586,True
PageRank,upset_naive,per_family,Basketball_coarse,30,30,0,0,-0.057927445570627865,-0.05664283782243734,-0.060066518957416236,-0.0558216292411089,True
PageRank,upset_naive,per_family,Basketball_finer,30,6,0,24,0.0112775852282842,0.014959320425987244,0.0049165714532136895,0.016875214179356883,True
PageRank,upset_naive,per_family,Faculty,3,3,0,0,-0.03863384202122687,-0.0324566289782524,-0.051883440464735,-0.03156145662069321,True
PageRank,upset_naive,per_family,Football_coarse,6,6,0,0,-0.0642267093062401,-0.059983007609844236,-0.08553903301556909,-0.04285034288962685,True
PageRank,upset_naive,per_family,Football_finer,6,6,0,0,-0.046268907686074556,-0.03990370035171506,-0.06491572906573612,-0.03177596740424641,True
PageRank,upset_naive,per_family,Halo,1,1,0,0,-0.12118017673492432,-0.12118017673492432,-0.12118017673492432,-0.12118017673492432,True
PageRank,upset_ratio,per_dataset_all,ALL,77,14,0,63,0.05676093226443831,0.029829442501068115,0.040961798843655556,0.07174363203207634,True
PageRank,upset_ratio,per_family,Animal,1,1,0,0,-0.040287286043167114,-0.040287286043167114,-0.040287286043167114,-0.040287286043167114,True
PageRank,upset_ratio,per_family,Basketball_coarse,30,0,0,30,0.023329351345698038,0.025530457496643066,0.02025964001814524,0.02649071524540583,True
PageRank,upset_ratio,per_family,Basketball_finer,30,0,0,30,0.13118843419166903,0.13146462221629918,0.12895224324349935,0.1332818305969704,True
PageRank,upset_ratio,per_family,Faculty,3,0,0,3,0.13205356399218246,0.16097617149353027,0.06532195210456854,0.16986256837844857,True
PageRank,upset_ratio,per_family,Football_coarse,6,6,0,0,-0.06892097493012747,-0.07274514436721802,-0.09044429659843446,-0.045295496781667076,True
PageRank,upset_ratio,per_family,Football_finer,6,6,0,0,-0.021914104620615632,-0.021933332085609436,-0.033492028713226284,-0.010316953063011175,True
PageRank,upset_ratio,per_family,Halo,1,1,0,0,-0.0758047103881836,-0.0758047103881836,-0.0758047103881836,-0.0758047103881836,True
syncRank,upset_simple,per_dataset_all,ALL,77,77,0,0,-0.7925258755296857,-0.7199999690055847,-0.8506461323623534,-0.7324835580829289,True
syncRank,upset_simple,per_family,Animal,1,1,0,0,-1.1396226286888123,-1.1396226286888123,-1.1396226286888123,-1.1396226286888123,True
syncRank,upset_simple,per_family,Basketball_coarse,30,30,0,0,-1.0780786840120953,-1.0857950448989868,-1.1045833185811837,-1.050303247332573,True
syncRank,upset_simple,per_family,Basketball_finer,30,30,0,0,-0.5357686165968577,-0.5304792523384094,-0.5640063878993192,-0.5103523627022902,True
syncRank,upset_simple,per_family,Faculty,3,3,0,0,-0.5458269625902176,-0.4839395582675934,-0.7967306822538373,-0.35681064724922185,True
syncRank,upset_simple,per_family,Football_coarse,6,6,0,0,-0.8013456543286641,-0.8086502134799955,-0.8920671107868354,-0.7070804874102276,True
syncRank,upset_simple,per_family,Football_finer,6,6,0,0,-0.6605123400688172,-0.6463220417499542,-0.7729980409145355,-0.5664990127086639,True
syncRank,upset_simple,per_family,Halo,1,1,0,0,-1.0608219146728515,-1.0608219146728515,-1.0608219146728515,-1.0608219146728515,True
syncRank,upset_naive,per_dataset_all,ALL,77,77,0,0,-0.19816289523785763,-0.1799999922513962,-0.21269987414917582,-0.18312763910813185,True
syncRank,upset_naive,per_family,Animal,1,1,0,0,-0.2867924422025681,-0.2867924422025681,-0.2867924422025681,-0.2867924422025681,True
syncRank,upset_naive,per_family,Basketball_coarse,30,30,0,0,-0.26951967100302376,-0.2714487612247467,-0.27614582964529594,-0.26257581183314327,True
syncRank,upset_naive,per_family,Basketball_finer,30,30,0,0,-0.13394215414921443,-0.13261981308460233,-0.1410015969748298,-0.12758809067557256,True
syncRank,upset_naive,per_family,Faculty,3,3,0,0,-0.13663442209362983,-0.12098488956689829,-0.19971571490168571,-0.08920266181230548,True
syncRank,upset_naive,per_family,Football_coarse,6,6,0,0,-0.20033641358216603,-0.20216255336999894,-0.22301677769670888,-0.1767701218525569,True
syncRank,upset_naive,per_family,Football_finer,6,6,0,0,-0.16512808501720427,-0.16158051043748856,-0.19324951022863388,-0.14162475317716594,True
syncRank,upset_naive,per_family,Halo,1,1,0,0,-0.2652054786682129,-0.2652054786682129,-0.2652054786682129,-0.2652054786682129,True
syncRank,upset_ratio,per_dataset_all,ALL,77,47,0,30,-0.11234831382677735,-0.2041609287261963,-0.1563459872162006,-0.06495683862909372,True
syncRank,upset_ratio,per_family,Animal,1,1,0,0,-0.4122295558452607,-0.4122295558452607,-0.4122295558452607,-0.4122295558452607,True
syncRank,upset_ratio,per_family,Basketball_coarse,30,30,0,0,-0.29124458392461144,-0.289482444524765,-0.29557454608380795,-0.2867068911492825,True
syncRank,upset_ratio,per_family,Basketball_finer,30,0,0,30,0.12735755412839353,0.12852645153179765,0.12511435637863666,0.1295057854182087,True
syncRank,upset_ratio,per_family,Faculty,3,3,0,0,-0.45865102608998615,-0.4761027693748475,-0.4773877263069153,-0.42246258258819563,True
syncRank,upset_ratio,per_family,Football_coarse,6,6,0,0,-0.2276440093914668,-0.22020834088325503,-0.27014633096754553,-0.1845701108376185,True
syncRank,upset_ratio,per_family,Football_finer,6,6,0,0,-0.06215846464037895,-0.060348314791917795,-0.08193529074390729,-0.04189807697509733,True
syncRank,upset_ratio,per_family,Halo,1,1,0,0,-0.20721179246902477,-0.20721179246902477,-0.20721179246902477,-0.20721179246902477,True
rankCentrality,upset_simple,per_dataset_all,ALL,77,77,0,0,-1.047215530431116,-0.9872727036476135,-1.112636198932668,-0.9805087131242474,True
rankCentrality,upset_simple,per_family,Animal,1,1,0,0,-1.584905683994293,-1.584905683994293,-1.584905683994293,-1.584905683994293,True
rankCentrality,upset_simple,per_family,Basketball_coarse,30,30,0,0,-1.2965244368712106,-1.294963151216507,-1.3167119644085565,-1.2772609817981722,True
rankCentrality,upset_simple,per_family,Basketball_finer,30,30,0,0,-0.7690765778223674,-0.7690636157989502,-0.7890817548930644,-0.7495110493501027,True
rankCentrality,upset_simple,per_family,Faculty,3,3,0,0,-1.7275793184836707,-1.7532338351011274,-1.7724252462387087,-1.6570788741111757,True
rankCentrality,upset_simple,per_family,Football_coarse,6,6,0,0,-0.9564224223295849,-0.8684158205986023,-1.1423911452293396,-0.7938094397385914,True
